Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Non Emptying,60.2,50.8,5,75,37.6,65.1,52.1,Lindstrom City,Non Recyclable
Emptying,80.7,41.7,8,60.2,43.8,97.1,31.3,Accordion,Non Recyclable
Non Emptying,33,50.4,4,70.2,31.3,67,32.7,Silvertop-b,Recyclable
Non Emptying,53.9,53.9,2,36.7,36.9,68.4,62.2,Cubic,Non Recyclable
Non Emptying,64.3,39,3,55.6,28.6,70,55.3,Fiberglass Igloo-a,Mixed
Non Emptying,73.8,36.7,1,53.9,27.8,34.8,52.2,Diamond,Recyclable
Non Emptying,63.6,54.6,5,66.7,34.8,60.1,50.5,Rectangular Farmland,Recyclable
Non Emptying,68.9,57.1,3,50.5,36.6,31.3,55.5,Rectangular,Recyclable
Emptying,72.6,36.8,7,91.4,32.7,96.3,50.7,Lindstrom-a,Non Recyclable
Non Emptying,78.4,36.3,1,71.9,32,63,38,Rectangular Farmland,Mixed
Emptying,93.2,26.1,8,92,42.7,106.5,56,Cubic,Non Recyclable
Non Emptying,64.3,58.9,5,34,51,33.3,22.2,Silvertop-a,Mixed
Non Emptying,60.7,30,2,63.9,28.2,53.8,68.4,Rectangular Farmland,Non Recyclable
Emptying,68.5,65.6,8,91.9,45,91.4,52,Accordion,Non Recyclable
Non Emptying,65.8,22.5,3,67.1,56.4,61.6,51,BIM-3 FTI bottentomd,Recyclable
Non Emptying,61.1,57,4,54.5,65.1,52.5,33.2,Fiberglass Igloo-b,Recyclable
Non Emptying,57.9,37.6,3,62.1,35.2,61.9,31.7,Cubic,Mixed
Non Emptying,32.7,61.6,1,56,50.3,61.3,53.6,Malmobehallare,Mixed
Emptying,94.1,66.6,6,80.3,44.5,99.7,22.2,BIM-3 FTI bottentomd,Mixed
Non Emptying,75.4,35.7,5,55,21.3,70.1,60,Silvertop-a,Recyclable
Non Emptying,52.4,67.1,2,52.6,38.9,70.8,31.8,Lindstrom-a,Recyclable
Emptying,90,44.8,6,85.6,61.7,66.9,20.6,Lindstrom City,Non Recyclable
Emptying,85.6,51.5,6,71.4,54.1,93.1,51.1,Rectangular,Non Recyclable
Non Emptying,53.1,20.3,5,53.4,65.9,73.1,21.5,Diamond,Non Recyclable
Emptying,61.6,50.5,6,82.8,43.3,82.7,62.3,Diamond,Recyclable
Non Emptying,74.4,67.6,2,30.1,53.6,58,33.5,Silvertop-b,Recyclable
Non Emptying,67.5,57.1,2,60.6,56.5,62.1,36.2,Fiberglass Igloo-b,Recyclable
Emptying,74.7,42.7,6,91,46.4,103.4,53.3,Lindstrom City,Mixed
Non Emptying,68.5,68.8,8,67.3,66.7,93.5,52.4,Lindstrom City,Mixed
Emptying,88.7,53.9,7,66.2,54.1,81.9,60.6,Accordion,Recyclable
Emptying,65.6,44.3,6,96.2,51,65.5,30.8,Lindstrom-b,Recyclable
Non Emptying,64.3,56.3,8,65.9,43.3,95.1,46.3,Fiberglass Igloo-b,Mixed
Non Emptying,58.2,27,1,32.6,32.3,52.9,30.3,Diamond,Recyclable
Non Emptying,31,52.7,2,56.6,31.1,68.7,67.3,Lindstrom City,Recyclable
Emptying,90.2,25.8,9,81.9,44.6,97.2,48,Fiberglass Igloo-a,Recyclable
Emptying,80.7,64.4,8,92.2,23.4,73.4,43.4,Silvertop-a,Non Recyclable
Non Emptying,58.2,25.7,3,59.8,66.7,65.5,30.1,Cubic,Non Recyclable
Non Emptying,64,20,3,64.7,32,60,54.5,Rectangular,Recyclable
Emptying,94.9,48.1,8,89.1,30.1,61.9,40.9,Silvertop-b,Non Recyclable
Emptying,62.5,25.1,8,91,46.4,96.6,57.2,BIM-3 FTI bottentomd,Non Recyclable
Emptying,95.7,45.4,8,77.9,53.2,84.1,53,Cubic,Mixed
Non Emptying,30.6,34.9,1,67.9,30.3,71.9,30.3,Accordion,Recyclable
Emptying,61.8,58.9,7,61.5,45.1,86.3,57.2,Cubic,Recyclable
Emptying,69.7,54.5,6,61.1,20.8,85.3,40.4,Accordion,Recyclable
Emptying,77.4,35.6,9,80.7,37.4,67.2,52.4,Rectangular Farmland,Recyclable
Non Emptying,64.5,35.4,2,70.6,65.1,62.8,24.4,Diamond,Non Recyclable
Non Emptying,67.5,52.4,5,67.8,30.9,63.4,57.7,Rectangular,Non Recyclable
Non Emptying,61.9,62.1,1,59.2,55,55,56.2,Silvertop-a,Recyclable
Emptying,87.5,55.9,7,62.3,48.7,82.7,53.8,Malmobehallare,Non Recyclable
Emptying,96.1,58.3,6,90.4,56.4,90.5,21.3,Fiberglass Igloo-a,Recyclable
Emptying,68.6,62.8,6,82,33.5,82.8,48.6,Cubic,Mixed
Non Emptying,39.6,34.4,3,38.3,62.7,65.3,30.3,Accordion,Non Recyclable
Emptying,90,39.9,6,85.1,55,83.1,21.5,Silvertop-b,Recyclable
Non Emptying,50.7,50.5,1,53.7,57.3,73,58.3,Malmobehallare,Non Recyclable
Emptying,93.5,49.2,6,97,23.6,97.1,68.9,Diamond,Mixed
Emptying,90.8,35.9,6,93.8,45.9,67.2,64.8,Lindstrom-b,Non Recyclable
Non Emptying,91.7,22.8,7,82,53.9,92.3,47.7,Lindstrom-b,Non Recyclable
Non Emptying,71.2,55.8,2,59.4,32.2,62.9,53.1,Malmobehallare,Non Recyclable
Non Emptying,51.9,67.7,2,50.8,30.4,61.3,61.4,Lindstrom-a,Recyclable
Emptying,74,45.4,6,91.7,50.7,94,45,Cubic,Mixed
Non Emptying,71.3,60.3,2,34.7,57.5,56.3,35.2,Diamond,Non Recyclable
Emptying,73.8,52.3,9,105.9,59.7,69.5,40.9,Silvertop-a,Non Recyclable
Emptying,97.6,54.2,6,79.4,20.9,60.6,54.2,Rectangular,Recyclable
Emptying,60.9,43.9,8,91.4,47.2,93.1,20.9,Rectangular Farmland,Recyclable
Emptying,93.8,61.1,7,92.1,44.9,82.2,45.9,Malmobehallare,Recyclable
Emptying,90.6,41.8,7,87.5,55.3,84.4,45,Silvertop-a,Non Recyclable
Non Emptying,50.8,50.9,2,64.4,22.5,68.6,56.6,BIM-3 FTI bottentomd,Recyclable
Emptying,63.3,31.5,6,72.3,59.8,93.7,52.2,Rectangular,Recyclable
Non Emptying,60.6,20.9,2,56.4,21.7,31.1,57.9,Cubic,Mixed
Non Emptying,56.6,22.1,5,55.1,31.1,59.4,53.1,Accordion,Non Recyclable
Non Emptying,65.5,53.6,5,74.3,61,52,66,Lindstrom City,Recyclable
Emptying,95.2,67.4,6,89.2,24,90.6,33.7,Rectangular Farmland,Mixed
Emptying,80.8,63.4,9,62.2,37.2,74.3,33.1,BIM-3 FTI bottentomd,Mixed
Non Emptying,58.3,25.1,5,52,35.2,55.7,33.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,62.3,36.4,2,59.6,21.2,59.9,54.6,Cubic,Non Recyclable
Emptying,70.4,47.1,6,94.4,21.4,93.7,51.2,Cubic,Recyclable
Non Emptying,73.2,32.1,3,72,27.6,54.2,33.7,Lindstrom-a,Recyclable
Emptying,87.3,68.4,9,91.3,50.9,83.6,42.5,Malmobehallare,Non Recyclable
Non Emptying,67.2,38.2,2,54.6,31.2,73.2,26.6,BIM-3 FTI bottentomd,Mixed
Emptying,83,51.8,9,86.3,26.2,90.3,24.7,Lindstrom-a,Mixed
Non Emptying,65.1,34.1,5,32.1,65.2,63,36.6,Cubic,Mixed
Emptying,92.7,33.4,9,84.8,30.6,98.1,55.5,Cubic,Mixed
Emptying,98.8,66.2,7,96.5,23.1,98.7,54.5,Silvertop-a,Recyclable
Non Emptying,53.9,52.8,2,60.8,20.5,73.2,31.9,Diamond,Non Recyclable
Non Emptying,62.9,55.6,4,54.9,61.9,34.3,29,Silvertop-b,Mixed
Non Emptying,36.4,53.6,3,69,67.3,50.2,36,Diamond,Mixed
Non Emptying,51.5,37.5,2,63.7,38.6,69.1,53.5,Cubic,Mixed
Non Emptying,38.8,33.6,5,51.7,52.7,62.5,21,BIM-3 FTI bottentomd,Recyclable
Emptying,82.9,56.5,6,76.3,29.4,63.1,51,Accordion,Mixed
Emptying,85.8,53.6,8,75.4,51.9,72.5,30.1,Accordion,Non Recyclable
Emptying,71.4,38.5,7,99.7,67.9,93.7,55.4,Rectangular,Recyclable
Non Emptying,53.6,55,5,64.6,57.7,58.1,35.9,Lindstrom City,Recyclable
Emptying,83.7,47.8,8,80.9,28.8,95.9,49.9,Fiberglass Igloo-a,Non Recyclable
Emptying,84.7,20.2,6,72.9,39.6,63.1,49.7,Silvertop-a,Recyclable
Emptying,65.7,30.5,9,82.1,46.6,68.2,51.9,Lindstrom-a,Mixed
Non Emptying,72.9,33.5,8,99.4,64.6,94,46.2,Lindstrom-a,Recyclable
Emptying,65.4,55.2,6,81.1,36.3,92.5,48.4,Rectangular Farmland,Recyclable
Non Emptying,70.6,41.2,6,64.9,51.4,84.1,45.9,Rectangular Farmland,Non Recyclable
Emptying,88,64.7,6,72.5,61,73.4,56,Silvertop-a,Non Recyclable
Non Emptying,65.8,35.3,1,62.5,61.2,67.1,56.2,Silvertop-b,Mixed
Non Emptying,30.4,34.1,2,62,34.6,53,31.7,Lindstrom-b,Mixed
Emptying,78.8,56.6,8,87,68.4,63.6,53.6,Fiberglass Igloo-a,Non Recyclable
Emptying,81.4,43.5,6,77,56.6,97.5,50.6,Lindstrom-a,Non Recyclable
Non Emptying,77.1,35.8,1,31.2,64.4,55.4,53.7,Diamond,Mixed
Emptying,87.8,57.1,9,92.6,34.1,86.7,64.7,Silvertop-a,Mixed
Emptying,84.6,60.5,6,84.9,34.8,73,22,Silvertop-b,Recyclable
Emptying,98.9,57.7,7,87.5,56.9,73.8,31.7,Silvertop-b,Non Recyclable
Emptying,86.7,51.5,6,84,31.9,96.4,53.5,Malmobehallare,Recyclable
Non Emptying,38.1,28,3,35,51,54.3,25.3,Accordion,Non Recyclable
Non Emptying,61.6,26.5,2,32.6,63.1,60.5,35.3,Lindstrom-b,Non Recyclable
Non Emptying,59.9,55.6,4,67,57.3,56.2,36.5,Diamond,Recyclable
Non Emptying,60.6,35.9,4,59.2,22.4,73.4,57.4,Accordion,Non Recyclable
Emptying,98.2,20.9,9,63.8,41.2,94.9,54.9,Silvertop-a,Recyclable
Non Emptying,53.2,50.5,4,76.7,56,30.7,37.2,Malmobehallare,Non Recyclable
Emptying,93.3,25.6,6,71.7,52.4,83.9,26,Silvertop-b,Mixed
Non Emptying,69.7,53.4,3,60.3,64.5,62.6,56.4,Lindstrom-a,Non Recyclable
Emptying,88.1,39.7,8,74.2,62.9,80.1,52.7,Fiberglass Igloo-b,Mixed
Non Emptying,58.4,57.4,2,57.6,58.6,64.5,31.9,Silvertop-a,Non Recyclable
Non Emptying,75.3,36.6,4,74,30.7,52.7,62.6,Fiberglass Igloo-b,Mixed
Emptying,96.5,55.2,8,60.5,33.5,92.5,44,Accordion,Non Recyclable
Non Emptying,59.5,22.6,1,57.2,52.1,57.1,55.1,Accordion,Non Recyclable
Non Emptying,56.9,24.6,5,57.5,66.5,70.5,25.4,Rectangular,Non Recyclable
Emptying,90.7,22.8,7,86.1,29.9,70.4,43.5,Rectangular Farmland,Recyclable
Emptying,81.2,54.6,7,61.9,50.9,96.5,54.4,Fiberglass Igloo-b,Recyclable
Emptying,69.3,53.8,9,61,40.1,87.5,54.5,Lindstrom City,Mixed
Emptying,64,31.3,7,82.5,39,96.2,28.5,Silvertop-a,Mixed
Emptying,87.7,50.4,8,75.9,54.8,81.8,44,Malmobehallare,Mixed
Non Emptying,64,50,5,65.9,64.5,36.4,51.7,BIM-3 FTI bottentomd,Non Recyclable
Emptying,82.5,69.1,9,60.5,58.6,64.6,50.1,Silvertop-a,Non Recyclable
Emptying,80.7,66.8,6,95.1,44.3,61,50.4,Rectangular,Mixed
Emptying,66,50.2,9,86.2,56.2,80.2,52.9,Diamond,Recyclable
Emptying,96.9,67.8,6,94.5,63.7,92.2,67.2,Rectangular Farmland,Mixed
Emptying,98.6,59.1,9,90.6,31,84.9,42.1,Lindstrom City,Mixed
Non Emptying,57.6,22.9,3,66.9,24,54.4,22,Lindstrom-b,Mixed
Emptying,92.7,51.7,9,91,63.5,92.5,49.4,Diamond,Mixed
Non Emptying,52.8,36.3,1,67.5,55.7,60.7,33.2,Lindstrom-b,Recyclable
Emptying,96.4,29.7,8,85.4,53.7,81.5,32.3,Malmobehallare,Mixed
Non Emptying,68.2,56.5,2,34.8,61.5,58.1,27,Lindstrom City,Mixed
Non Emptying,39.3,24.8,4,77,23.2,75,33.4,Fiberglass Igloo-b,Mixed
Non Emptying,61,27.9,4,69.4,38.1,59.6,25.9,BIM-3 FTI bottentomd,Recyclable
Emptying,83.7,53.7,7,83.3,60.2,92.1,31.6,Rectangular,Recyclable
Emptying,70.7,65.8,6,80.3,55.7,66.9,51.6,Lindstrom City,Mixed
Emptying,92.4,37.9,9,91.1,38.4,98.4,61.4,Rectangular,Mixed
Emptying,84.5,59.9,9,90.6,44.6,98.9,36.4,Rectangular Farmland,Recyclable
Non Emptying,59.5,37.5,3,50.3,63.3,55.9,67.6,Lindstrom City,Mixed
Non Emptying,74.8,35.2,3,63,68.6,58.6,38.7,Accordion,Non Recyclable
Non Emptying,74.1,26.7,2,30,58.7,76.8,30.9,Cubic,Non Recyclable
Emptying,82.5,65,7,88.3,54.8,79.1,32.8,Rectangular,Recyclable
Non Emptying,50.2,51.6,5,63.6,34.7,72.5,33.6,Fiberglass Igloo-b,Recyclable
Non Emptying,37.3,23.1,2,61.5,66.8,60.5,32.2,Diamond,Non Recyclable
Non Emptying,62.4,64.7,4,65.2,52.9,68.4,31,Fiberglass Igloo-b,Mixed
Non Emptying,70.1,68.2,3,52.5,34.1,67.5,36.1,Fiberglass Igloo-a,Mixed
Emptying,91.1,54,7,88.8,60,90.2,50.6,Silvertop-a,Non Recyclable
Non Emptying,54.8,57.2,1,68.4,57.3,51.9,54.8,BIM-3 FTI bottentomd,Recyclable
Emptying,92.2,30.2,6,72.3,30.2,72.5,54.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,59.4,36.6,1,77.2,23.1,66.2,51.4,Diamond,Mixed
Emptying,61.5,51.9,8,98.5,27.4,82,41.6,Cubic,Non Recyclable
Emptying,93.3,58.6,8,93.2,60.7,86,24.3,BIM-3 FTI bottentomd,Recyclable
Emptying,90.2,62.2,8,78.5,50.4,60.3,61.6,Diamond,Non Recyclable
Emptying,65.3,57.4,8,83.6,52.6,98.9,42,Lindstrom City,Mixed
Non Emptying,71.2,31.1,5,72,53,53.5,51.2,Fiberglass Igloo-a,Non Recyclable
Emptying,95,32.4,6,83.4,54.3,85,58.2,Fiberglass Igloo-b,Non Recyclable
Non Emptying,30.2,31.4,5,52.1,23.6,65,61.7,Silvertop-a,Non Recyclable
Non Emptying,78.1,32.3,2,51.3,52,70.8,56.5,Accordion,Mixed
Emptying,92.9,23.1,6,92.8,49.5,74.5,45.5,Rectangular Farmland,Recyclable
Emptying,81.7,69.9,9,90.7,56.6,84.7,44.1,Fiberglass Igloo-b,Mixed
Emptying,62.9,55,6,84.5,32.8,70.7,41.8,Silvertop-b,Non Recyclable
Non Emptying,51.7,53.3,5,74.1,32.2,58.9,51.2,Accordion,Non Recyclable
Emptying,74.2,40.3,6,94.2,52.8,83.7,60,Silvertop-b,Non Recyclable
Emptying,95.9,52.6,6,70.3,31,91.3,54.8,Silvertop-b,Non Recyclable
Emptying,92.6,43.3,6,72.5,49,92.8,52.4,Lindstrom-a,Recyclable
Emptying,82.7,24.9,6,90.8,60.9,70.3,41.1,Lindstrom City,Recyclable
Emptying,60.7,59.4,8,81,63.2,92.1,45.6,Rectangular,Non Recyclable
Emptying,92.9,54.4,6,83.6,69.9,94.1,51.5,Rectangular Farmland,Mixed
Emptying,89.4,44.4,9,92.8,34.5,80.2,29,Silvertop-a,Recyclable
Non Emptying,32.2,55.1,2,74.2,59,74.7,33.6,Silvertop-a,Mixed
Non Emptying,61.4,66.3,5,58.7,26.9,63.2,51.6,Fiberglass Igloo-a,Mixed
Non Emptying,68.6,38.6,2,64.3,62,65.8,35.9,Fiberglass Igloo-b,Recyclable
Non Emptying,76.8,36.3,5,67.6,32.8,57.7,55.8,Cubic,Mixed
Non Emptying,54.5,20.7,5,67.4,57.8,31.1,60.8,Lindstrom-a,Mixed
Non Emptying,63.7,60.6,5,55.2,23.8,38.3,53.8,Rectangular,Non Recyclable
Emptying,94.7,69.6,9,92.3,34,88.4,52.3,Silvertop-a,Recyclable
Non Emptying,59.1,53.4,3,62.7,21.8,77.8,50,Cubic,Mixed
Emptying,80.5,24.1,9,83.7,68.3,84.3,64.8,Lindstrom-a,Recyclable
Non Emptying,57.4,38.7,4,62.1,31.7,60.5,63.2,Malmobehallare,Non Recyclable
Non Emptying,64.9,27.9,2,33.9,22.8,50.2,52.3,Fiberglass Igloo-a,Mixed
Emptying,79.5,44,8,84,57.7,85.3,38.7,Fiberglass Igloo-b,Mixed
Emptying,80.6,57.7,6,96.1,42.2,71.4,55.5,Lindstrom-b,Mixed
Emptying,91.6,54.7,6,82.5,50,95.5,23,Malmobehallare,Non Recyclable
Non Emptying,68.4,24.5,4,55.9,21.2,78.8,30.2,Silvertop-a,Non Recyclable
Emptying,62.8,48.8,6,84.3,56.5,94.4,41.3,Silvertop-b,Recyclable
Non Emptying,56.7,60.3,3,53.1,55.4,71.5,55.9,Malmobehallare,Non Recyclable
Emptying,90.2,60.9,8,87.7,40.9,87.2,52.1,Rectangular Farmland,Recyclable
Non Emptying,55.2,31.7,2,72.1,50.8,33.6,67.9,Diamond,Non Recyclable
Emptying,72.8,51.1,8,96.6,53.9,91.6,49.3,Lindstrom-a,Recyclable
Non Emptying,56.4,38.3,2,34.2,53.7,65.3,31.2,Silvertop-b,Non Recyclable
Emptying,64.3,59.7,7,61.7,40.9,87.7,61,Fiberglass Igloo-b,Mixed
Non Emptying,54.3,51.6,5,30.4,31.4,70.4,54.8,Cubic,Mixed
Non Emptying,78.8,53.5,3,54.5,57.8,63.1,51.8,Cubic,Non Recyclable
Non Emptying,61,28.4,2,64.6,32.5,61.8,35.6,Diamond,Non Recyclable
Emptying,62.4,49.4,8,83.4,22.8,97.6,65.6,Lindstrom-a,Mixed
Non Emptying,54.2,55.7,1,53.3,24,60.7,28.8,Fiberglass Igloo-b,Mixed
Non Emptying,72.3,32.9,5,74.5,23.5,39.2,55.1,Rectangular Farmland,Non Recyclable
Non Emptying,58.6,34.3,2,65.9,53.1,56.2,68.2,Fiberglass Igloo-b,Recyclable
Non Emptying,72.2,30.5,1,62.2,20.2,72.6,54.7,Fiberglass Igloo-b,Mixed
Emptying,62.8,28.4,6,69.1,51.5,79.1,21,Fiberglass Igloo-b,Non Recyclable
Non Emptying,30.6,35.2,5,56.2,66.7,53.4,38.2,Malmobehallare,Recyclable
Emptying,92.1,53.7,7,83.2,54.6,99.2,23.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,74.7,32.8,5,68.8,62.6,71.7,54.4,Accordion,Recyclable
Emptying,95.9,59.7,8,92.3,35.5,60.3,67.9,Lindstrom-a,Mixed
Emptying,82.4,24.5,6,86.3,40.5,90.2,30.5,Lindstrom-a,Mixed
Emptying,88.5,43.1,7,98.2,53,90.9,68.6,Accordion,Recyclable
Non Emptying,66.7,32.3,2,63.4,35.1,31.5,68.8,Lindstrom-a,Mixed
Emptying,72.7,21.8,6,94.5,34.2,94.2,69.2,Rectangular,Recyclable
Emptying,79,51,6,93.3,51.2,75.8,53.7,BIM-3 FTI bottentomd,Non Recyclable
Emptying,86.6,53.9,8,81.1,53.1,87.3,60,Silvertop-b,Mixed
Non Emptying,69.7,38.9,1,65.6,52,60,26.1,Fiberglass Igloo-a,Non Recyclable
Emptying,81.1,41.9,6,93,52.4,88.1,46.4,BIM-3 FTI bottentomd,Non Recyclable
Emptying,76.5,23.2,6,97.9,20.9,93.5,65.7,Accordion,Non Recyclable
Emptying,84.4,46.5,9,86.9,59.3,92.7,55.7,Lindstrom City,Mixed
Non Emptying,58.3,61.7,4,34.2,30.5,51.8,68.6,Accordion,Recyclable
Non Emptying,72,56,1,33.3,51.1,72.9,61,BIM-3 FTI bottentomd,Mixed
Emptying,66.4,34.7,6,76.7,50.3,72.8,49.9,Diamond,Recyclable
Non Emptying,37.7,52.9,3,54.6,66.8,65.1,51,Lindstrom-b,Non Recyclable
Emptying,94.4,44.8,6,87.4,40.6,67.9,39.2,Fiberglass Igloo-b,Recyclable
Non Emptying,72.1,56.5,1,53,54.4,34.9,60.7,Silvertop-a,Mixed
Non Emptying,53.4,34.9,1,32.8,50.1,35.3,55.8,Fiberglass Igloo-a,Recyclable
Non Emptying,60.4,58.9,1,66.4,34.4,55.1,24.1,BIM-3 FTI bottentomd,Non Recyclable
Emptying,79.5,63.7,7,71,44.3,89.4,23.4,Fiberglass Igloo-a,Recyclable
Emptying,90.6,59.2,7,61.6,63.1,93.8,30.7,Diamond,Non Recyclable
Emptying,95,64,9,78.1,52,72.1,28.7,Lindstrom-a,Non Recyclable
Non Emptying,57.2,53.3,4,72.7,26.4,64,61.4,Accordion,Mixed
Emptying,81.7,52.1,6,94.4,59.3,75.1,53.3,Accordion,Mixed
Non Emptying,65.6,26.8,3,76.8,51.6,77,60.1,Silvertop-a,Mixed
Non Emptying,50.5,27.2,1,71.6,26.1,68.5,34.4,Silvertop-b,Non Recyclable
Emptying,89.7,56,7,73.9,62.7,86.6,51.7,Fiberglass Igloo-b,Mixed
Non Emptying,73.2,54.3,2,50.4,21.8,62.7,50.5,Fiberglass Igloo-a,Recyclable
Emptying,90,67,9,83,41.1,90,59.9,Silvertop-a,Non Recyclable
Emptying,92,49.3,7,86.9,52.3,73.8,53.9,Accordion,Recyclable
Emptying,87.5,59.2,7,83.9,43.5,76.9,44.2,Rectangular Farmland,Recyclable
Emptying,85,53.4,8,89.2,40.8,92.3,55.2,BIM-3 FTI bottentomd,Recyclable
Emptying,92.5,50.3,6,94.7,40.6,80.2,43.7,Diamond,Recyclable
Non Emptying,61.7,54.5,4,30.5,32.8,73.9,50.9,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,73.7,68.7,2,62.4,55.3,57,21.6,Lindstrom-a,Non Recyclable
Emptying,83.3,40.6,6,98.5,53.7,87,53.7,Lindstrom City,Non Recyclable
Non Emptying,63.2,32.7,4,61.7,24.9,53.9,35.6,Malmobehallare,Recyclable
Non Emptying,63.3,55.3,5,70.4,63.9,69,21.6,Fiberglass Igloo-a,Mixed
Emptying,80.6,40.8,6,98.7,23.5,90.5,58.5,Lindstrom City,Mixed
Emptying,64.5,41.8,6,73.2,52.7,86,51.8,Fiberglass Igloo-a,Mixed
Emptying,98.3,56,6,84.3,59.4,85.5,52.9,Fiberglass Igloo-b,Recyclable
Non Emptying,55,26.1,1,53.7,38.1,70.1,26,Rectangular,Mixed
Emptying,71.1,60.5,8,92.2,32.9,65.6,58.9,Silvertop-b,Non Recyclable
Non Emptying,36.8,35.9,1,38.3,34.9,35.3,24.6,Silvertop-a,Recyclable
Emptying,92.3,54.9,9,97.7,32.2,90.5,42.8,Accordion,Mixed
Emptying,99,26.2,6,83.4,50.8,84.1,43,Fiberglass Igloo-b,Recyclable
Emptying,62,36.6,7,86.3,50.2,95.5,50,Rectangular Farmland,Non Recyclable
Non Emptying,62.6,25.4,1,69.5,51.8,53.3,53.8,Lindstrom-b,Mixed
Emptying,81.3,59.1,6,93.3,22.1,83.5,45.2,Rectangular Farmland,Non Recyclable
Emptying,94.1,51.4,7,88.3,31.8,98.6,57.9,Diamond,Mixed
Non Emptying,53.3,31,3,74.4,25.6,38.7,32.8,Silvertop-a,Recyclable
Non Emptying,61.7,34.8,2,66.5,25.2,60.4,33.2,Fiberglass Igloo-a,Mixed
Emptying,82.4,54.6,9,83.7,40.1,79.4,30.1,Cubic,Recyclable
Non Emptying,54.4,58.8,3,57.3,55.1,64.6,22.5,Fiberglass Igloo-b,Mixed
Non Emptying,56.7,52.8,3,52.9,27.1,57.1,30.2,Rectangular,Recyclable
Non Emptying,72.1,38.8,3,35.1,33.8,62.8,34.5,Malmobehallare,Mixed
Non Emptying,58.3,69,4,52.9,37.7,69.8,67.4,Cubic,Recyclable
Emptying,80.6,51.3,9,87.3,51.6,83,46.3,Fiberglass Igloo-b,Mixed
Non Emptying,73.1,31.2,3,72.7,32.6,53.5,61.8,Lindstrom-a,Mixed
Emptying,65.3,39.6,7,90.3,37.8,88.1,65.5,BIM-3 FTI bottentomd,Mixed
Non Emptying,35.9,20.6,5,51,56.2,57,38.8,Accordion,Mixed
Emptying,99,23.8,6,64.2,52.2,61.1,67.6,Fiberglass Igloo-a,Mixed
Non Emptying,52.9,54.3,1,80,66.5,73.5,55.4,Silvertop-b,Non Recyclable
Non Emptying,52.3,33.2,2,36.2,53.8,53.2,54.5,Silvertop-b,Non Recyclable
Non Emptying,63.6,20.3,1,64.7,34.4,61.9,58,Fiberglass Igloo-b,Recyclable
Non Emptying,61,64.8,1,76.6,33,61.5,36.2,Cubic,Non Recyclable
Emptying,90.1,54.3,9,99.3,33,71.9,51.8,Cubic,Mixed
Emptying,97.1,56.5,8,85.8,30.7,94.4,28.3,Accordion,Non Recyclable
Non Emptying,50.7,35.7,3,67.9,60.9,64.7,33.9,Lindstrom City,Recyclable
Emptying,84.1,42.7,6,95.9,34.3,71.5,51.7,Lindstrom City,Recyclable
Non Emptying,51.7,57.4,5,62.4,53.7,69.2,51.9,Rectangular Farmland,Mixed
Non Emptying,53.3,51.3,3,58.9,26.3,74.2,54.1,Silvertop-a,Mixed
Non Emptying,71.4,56.2,2,62.8,60.7,62.1,64.9,Lindstrom-a,Non Recyclable
Non Emptying,39.2,31.8,5,33.2,64.1,51.5,55.8,Rectangular Farmland,Recyclable
Emptying,89.2,60.7,8,82.7,63.9,72.9,66,Lindstrom City,Mixed
Emptying,91.7,31.1,6,87.5,44.7,97.3,55.3,Rectangular,Mixed
Emptying,96.2,68.1,7,99.1,53.8,83.8,54.7,Lindstrom-a,Mixed
Emptying,74.3,64.5,9,96.5,54.3,64.1,48.2,Lindstrom-a,Mixed
Non Emptying,64.9,60.5,3,34.4,30.8,61.3,66.1,Diamond,Mixed
Emptying,89,60.4,7,74.4,51.7,81.5,52.6,Lindstrom-b,Mixed
Non Emptying,30.1,62.3,4,30.3,25.6,62.7,26.3,Silvertop-b,Mixed
Non Emptying,54.7,35.1,5,35.3,21.1,61.6,56.7,Cubic,Mixed
Non Emptying,71,31.3,4,53.9,60.8,54.8,24.2,Cubic,Recyclable
Emptying,88.1,20.6,7,85.5,50.9,99.5,54.6,Diamond,Recyclable
Non Emptying,65.7,33.9,3,64.2,53,38.4,51.2,Rectangular Farmland,Recyclable
Non Emptying,53.2,62.7,5,72.6,55.1,60.5,51.7,Silvertop-a,Mixed
Non Emptying,59.2,26.8,3,34.3,35,67.7,28.7,Accordion,Recyclable
Emptying,87.4,53.9,6,83.5,35.6,71,50.9,BIM-3 FTI bottentomd,Non Recyclable
Emptying,99,65.2,9,61.1,39.7,95.5,57.6,Fiberglass Igloo-b,Mixed
Non Emptying,78.7,32.4,5,51.1,53.5,30.9,63.9,Rectangular Farmland,Mixed
Non Emptying,51.2,27.9,4,75.5,65.4,31.8,60.1,Accordion,Non Recyclable
Non Emptying,52.7,37.6,5,65,33.8,74.3,36.9,Fiberglass Igloo-b,Recyclable
Emptying,80.5,52.9,6,96.3,54.2,82.1,50.7,Fiberglass Igloo-a,Mixed
Non Emptying,36.3,30.6,5,36.9,63.2,64.4,23.5,Rectangular Farmland,Recyclable
Non Emptying,54.6,38.9,5,60.6,31.4,76.3,53.2,Diamond,Mixed
Emptying,80.5,34.7,8,98.4,59.1,68.4,37.1,Rectangular Farmland,Recyclable
